gcards,Greeting Cards,Handmade cards with collage floral bunting on the front. Can have a phrase of your choosing on the front or no text.,img/IMG_1101.jpeg,2,3250
lsachets,Lavender Sachets,Filled with lavender from Prince Edward County. These adorable sachets are excellent gifts. Put them in your drawers to keep bugs away and make your clothes smell lovely. Made with vintage fabric. Colour scheme customizable.,img/IMG_1616.jpeg,6,1200
bunting,Bunting,A lovely wall-decoration for kids' bedrooms and dorm rooms alike. Bunting has experienced a resurgence in popularity ever since the birth of the royal baby in 2013. Made from vintage fabric. Colour scheme is customizable.,img/IMG_2415.jpeg,25,4500
headbands,Headbands,Pretty knit headbands to keep your ears warm. One size fits all. Available in any colour.,img/IMG_2420.jpeg,10,2300
